Service,Type,Source,Destination,Fare
Uber,Taxi,Vidyalankar Institute Wadala,Matunga,148
Uber ,Premier Sedan,Vidyalankar Institute Wadala,Matunga,350
Uber,SUV,Vidyalankar Institute Wadala,Matunga,410
Ola,XL,Vidyalankar Institute Wadala,Matunga,363
Ola,Bike,Vidyalankar Institute Wadala,Matunga,80
Ola,Black/Lux,Vidyalankar Institute Wadala,Matunga,310
Ola,Mini,Vidyalankar Institute Wadala,Matunga,280
Ola,Taxi,Vidyalankar Institute Wadala,Matunga,130
Ola,Premier Sedan,Vidyalankar Institute Wadala,Matunga,319
Ola,SUV,Vidyalankar Institute Wadala,Matunga,443
Uber,XL,Vidyalankar Institute Wadala,Thane,660
Uber,Bike,Vidyalankar Institute Wadala,Thane,Unavailable for long disance
Uber,Black/Lux,Vidyalankar Institute Wadala,Thane,515
Uber,Mini,Vidyalankar Institute Wadala,Thane,427
Uber,Taxi,Vidyalankar Institute Wadala,Thane,420
Uber ,Premier Sedan,Vidyalankar Institute Wadala,Thane,450
Uber,SUV,Vidyalankar Institute Wadala,Thane,710
Ola,XL,Vidyalankar Institute Wadala,Thane,692
Ola,Bike,Vidyalankar Institute Wadala,Thane,Unavailable for long disance
Ola,Black/Lux,Vidyalankar Institute Wadala,Thane,550
Ola,Mini,Vidyalankar Institute Wadala,Thane,439
Ola,Taxi,Vidyalankar Institute Wadala,Thane,448
Ola,Premier Sedan,Vidyalankar Institute Wadala,Thane,496
Ola,SUV,Vidyalankar Institute Wadala,Thane,692
Uber,XL,Vidyalankar Institute Wadala,Kalyan,1245
Uber,Bike,Vidyalankar Institute Wadala,Kalyan,Unavailable for long disance
Uber,Black/Lux,Vidyalankar Institute Wadala,Kalyan,900
Uber,Mini,Vidyalankar Institute Wadala,Kalyan,780
Uber,Taxi,Vidyalankar Institute Wadala,Kalyan,1000
Uber ,Premier Sedan,Vidyalankar Institute Wadala,Kalyan,819
Uber,SUV,Vidyalankar Institute Wadala,Kalyan,1145
Ola,XL,Vidyalankar Institute Wadala,Kalyan,119
Ola,Bike,Vidyalankar Institute Wadala,Kalyan,Unavailable for long disance
Ola,Black/Lux,Vidyalankar Institute Wadala,Kalyan,950
Ola,Mini,Vidyalankar Institute Wadala,Kalyan,800
Ola,Taxi,Vidyalankar Institute Wadala,Kalyan,1013
Ola,Premier Sedan,Vidyalankar Institute Wadala,Kalyan,800
Ola,SUV,Vidyalankar Institute Wadala,Kalyan,1135
Uber,XL,Vidyalankar Institute Wadala,Nahur,730
Uber,Bike,Vidyalankar Institute Wadala,Nahur,Unavailable for long disance
Uber,Black/Lux,Vidyalankar Institute Wadala,Nahur,560
Uber,Mini,Vidyalankar Institute Wadala,Nahur,790
Uber,Taxi,Vidyalankar Institute Wadala,Nahur,460
Uber ,Premier Sedan,Vidyalankar Institute Wadala,Nahur,495
Uber,SUV,Vidyalankar Institute Wadala,Nahur,725
Ola,XL,Vidyalankar Institute Wadala,Nahur,623
Ola,Bike,Vidyalankar Institute Wadala,Nahur,Unavailable for long disance
Ola,Black/Lux,Vidyalankar Institute Wadala,Nahur,589
Ola,Mini,Vidyalankar Institute Wadala,Nahur,478
Ola,Taxi,Vidyalankar Institute Wadala,Nahur,420
Ola,Premier Sedan,Vidyalankar Institute Wadala,Nahur,509
Ola,SUV,Vidyalankar Institute Wadala,Nahur,709
Uber,XL,Vidyalankar Institute Wadala,Kanjur Marg,630
Uber,Bike,Vidyalankar Institute Wadala,Kanjur Marg,Unavailable for long disance
Uber,Black/Lux,Vidyalankar Institute Wadala,Kanjur Marg,500
Uber,Mini,Vidyalankar Institute Wadala,Kanjur Marg,440
Uber,Taxi,Vidyalankar Institute Wadala,Kanjur Marg,370
Uber ,Premier Sedan,Vidyalankar Institute Wadala,Kanjur Marg,585
Uber,SUV,Vidyalankar Institute Wadala,Kanjur Marg,700
Ola,XL,Vidyalankar Institute Wadala,Kanjur Marg,643
Ola,Bike,Vidyalankar Institute Wadala,Kanjur Marg,Unavailable for long disance
Ola,Black/Lux,Vidyalankar Institute Wadala,Kanjur Marg,520
Ola,Mini,Vidyalankar Institute Wadala,Kanjur Marg,490
Ola,Taxi,Vidyalankar Institute Wadala,Kanjur Marg,393
Ola,Premier Sedan,Vidyalankar Institute Wadala,Kanjur Marg,566
Ola,SUV,Vidyalankar Institute Wadala,Kanjur Marg,715
Uber,XL,Vidyalankar Institute Wadala,Badlapur,999
Uber,Bike,Vidyalankar Institute Wadala,Badlapur,Unavailable for long disance
Uber,Black/Lux,Vidyalankar Institute Wadala,Badlapur,740
Uber,Mini,Vidyalankar Institute Wadala,Badlapur,619
Uber,Taxi,Vidyalankar Institute Wadala,Badlapur,489
Uber ,Premier Sedan,Vidyalankar Institute Wadala,Badlapur,690
Uber,SUV,Vidyalankar Institute Wadala,Badlapur,1220
Ola,XL,Vidyalankar Institute Wadala,Badlapur,900
Ola,Bike,Vidyalankar Institute Wadala,Badlapur,Unavailable for long disance
Ola,Black/Lux,Vidyalankar Institute Wadala,Badlapur,750
Ola,Mini,Vidyalankar Institute Wadala,Badlapur,600
Ola,Taxi,Vidyalankar Institute Wadala,Badlapur,500
Ola,Premier Sedan,Vidyalankar Institute Wadala,Badlapur,670
Ola,SUV,Vidyalankar Institute Wadala,Badlapur,1267
Uber,XL,Vidyalankar Institute Wadala,Borivali,830
Uber,Bike,Vidyalankar Institute Wadala,Borivali,Unavailable for long disance
Uber,Black/Lux,Vidyalankar Institute Wadala,Borivali,650
Uber,Mini,Vidyalankar Institute Wadala,Borivali,570
Uber,Taxi,Vidyalankar Institute Wadala,Borivali,580
Uber ,Premier Sedan,Vidyalankar Institute Wadala,Borivali,640
Uber,SUV,Vidyalankar Institute Wadala,Borivali,918
Ola,XL,Vidyalankar Institute Wadala,Borivali,850
Ola,Bike,Vidyalankar Institute Wadala,Borivali,Unavailable for long disance
Ola,Black/Lux,Vidyalankar Institute Wadala,Borivali,680
Ola,Mini,Vidyalankar Institute Wadala,Borivali,586
Ola,Taxi,Vidyalankar Institute Wadala,Borivali,596
Ola,Premier Sedan,Vidyalankar Institute Wadala,Borivali,646
Ola,SUV,Vidyalankar Institute Wadala,Borivali,903
Uber,XL,Vidyalankar Institute Wadala,Churchgate,440
Uber,Bike,Vidyalankar Institute Wadala,Churchgate,Unavailable for long disance
Uber,Black/Lux,Vidyalankar Institute Wadala,Churchgate,420
Uber,Mini,Vidyalankar Institute Wadala,Churchgate,310
Uber,Taxi,Vidyalankar Institute Wadala,Churchgate,280
Uber ,Premier Sedan,Vidyalankar Institute Wadala,Churchgate,340
Uber,SUV,Vidyalankar Institute Wadala,Churchgate,450
Ola,XL,Vidyalankar Institute Wadala,Churchgate,480
Ola,Bike,Vidyalankar Institute Wadala,Churchgate,Unavailable for long disance
Ola,Black/Lux,Vidyalankar Institute Wadala,Churchgate,400
Ola,Mini,Vidyalankar Institute Wadala,Churchgate,300
Ola,Taxi,Vidyalankar Institute Wadala,Churchgate,291
Ola,Premier Sedan,Vidyalankar Institute Wadala,Churchgate,353
Ola,SUV,Vidyalankar Institute Wadala,Churchgate,489
Uber,XL,Vidyalankar Institute Wadala,Jogeshwari,512
Uber,Bike,Vidyalankar Institute Wadala,Jogeshwari,Unavailable for long disance
Uber,Black/Lux,Vidyalankar Institute Wadala,Jogeshwari,400
Uber,Mini,Vidyalankar Institute Wadala,Jogeshwari,389
Uber,Taxi,Vidyalankar Institute Wadala,Jogeshwari,370
Uber ,Premier Sedan,Vidyalankar Institute Wadala,Jogeshwari,450
Uber,SUV,Vidyalankar Institute Wadala,Jogeshwari,600
Ola,XL,Vidyalankar Institute Wadala,Jogeshwari,500
Ola,Bike,Vidyalankar Institute Wadala,Jogeshwari,Unavailable for long disance
Ola,Black/Lux,Vidyalankar Institute Wadala,Jogeshwari,430
Ola,Mini,Vidyalankar Institute Wadala,Jogeshwari,379
Ola,Taxi,Vidyalankar Institute Wadala,Jogeshwari,381
Ola,Premier Sedan,Vidyalankar Institute Wadala,Jogeshwari,439
Ola,SUV,Vidyalankar Institute Wadala,Jogeshwari,611
Uber,XL,Vidyalankar Institute Wadala,Lower Parel,348
Uber,Bike,Vidyalankar Institute Wadala,Lower Parel,120
Uber,Black/Lux,Vidyalankar Institute Wadala,Lower Parel,300
Uber,Mini,Vidyalankar Institute Wadala,Lower Parel,260
Uber,Taxi,Vidyalankar Institute Wadala,Lower Parel,170
Uber ,Premier Sedan,Vidyalankar Institute Wadala,Lower Parel,280
Uber,SUV,Vidyalankar Institute Wadala,Lower Parel,380
Ola,XL,Vidyalankar Institute Wadala,Lower Parel,336
Ola,Bike,Vidyalankar Institute Wadala,Lower Parel,102
Ola,Black/Lux,Vidyalankar Institute Wadala,Lower Parel,260
Ola,Mini,Vidyalankar Institute Wadala,Lower Parel,243
Ola,Taxi,Vidyalankar Institute Wadala,Lower Parel,150
Ola,Premier Sedan,Vidyalankar Institute Wadala,Lower Parel,296
Ola,SUV,Vidyalankar Institute Wadala,Lower Parel,370
Uber,XL,Vidyalankar Institute Wadala,Seawood Darave,700
Uber,Bike,Vidyalankar Institute Wadala,Seawood Darave,Unavailable for long disance
Uber,Black/Lux,Vidyalankar Institute Wadala,Seawood Darave,605
Uber,Mini,Vidyalankar Institute Wadala,Seawood Darave,523
Uber,Taxi,Vidyalankar Institute Wadala,Seawood Darave,550
Uber ,Premier Sedan,Vidyalankar Institute Wadala,Seawood Darave,583
Uber,SUV,Vidyalankar Institute Wadala,Seawood Darave,803
Ola,XL,Vidyalankar Institute Wadala,Seawood Darave,680
Ola,Bike,Vidyalankar Institute Wadala,Seawood Darave,Unavailable for long disance
Ola,Black/Lux,Vidyalankar Institute Wadala,Seawood Darave,600
Ola,Mini,Vidyalankar Institute Wadala,Seawood Darave,516
Ola,Taxi,Vidyalankar Institute Wadala,Seawood Darave,542
Ola,Premier Sedan,Vidyalankar Institute Wadala,Seawood Darave,570
Ola,SUV,Vidyalankar Institute Wadala,Seawood Darave,795
Uber,XL,Vidyalankar Institute Wadala,Tilaknagar,359
Uber,Bike,Vidyalankar Institute Wadala,Tilaknagar,150
Uber,Black/Lux,Vidyalankar Institute Wadala,Tilaknagar,310
Uber,Mini,Vidyalankar Institute Wadala,Tilaknagar,250
Uber,Taxi,Vidyalankar Institute Wadala,Tilaknagar,200
Uber ,Premier Sedan,Vidyalankar Institute Wadala,Tilaknagar,290
Uber,SUV,Vidyalankar Institute Wadala,Tilaknagar,393
Ola,XL,Vidyalankar Institute Wadala,Tilaknagar,350
Ola,Bike,Vidyalankar Institute Wadala,Tilaknagar,120
Ola,Black/Lux,Vidyalankar Institute Wadala,Tilaknagar,300
Ola,Mini,Vidyalankar Institute Wadala,Tilaknagar,233
Ola,Taxi,Vidyalankar Institute Wadala,Tilaknagar,190
Ola,Premier Sedan,Vidyalankar Institute Wadala,Tilaknagar,281
Ola,SUV,Vidyalankar Institute Wadala,Tilaknagar,387
Uber,XL,Vidyalankar Institute Wadala,Dockyard Road,350
Uber,Bike,Vidyalankar Institute Wadala,Dockyard Road,130
Uber,Black/Lux,Vidyalankar Institute Wadala,Dockyard Road,310
Uber,Mini,Vidyalankar Institute Wadala,Dockyard Road,271
Uber,Taxi,Vidyalankar Institute Wadala,Dockyard Road,250
Uber ,Premier Sedan,Vidyalankar Institute Wadala,Dockyard Road,299
Uber,SUV,Vidyalankar Institute Wadala,Dockyard Road,420
Ola,XL,Vidyalankar Institute Wadala,Dockyard Road,328
Ola,Bike,Vidyalankar Institute Wadala,Dockyard Road,150
Ola,Black/Lux,Vidyalankar Institute Wadala,Dockyard Road,300
Ola,Mini,Vidyalankar Institute Wadala,Dockyard Road,242
Ola,Taxi,Vidyalankar Institute Wadala,Dockyard Road,221
